"FACULTAD DE CIENCIAS FÍSICO MATEMATICAS Y NATURALES","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN BIOLOGÍA MOLECULAR","GRADO"," OCD N.º 11/15 Y 15/14","OCS N.º 58/15","RESOLUCIÓN MINISTERIAL N.° 1114/17","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN BIOQUÍMICA","GRADO","OCD N.º 1/2025","OCS N.º 6/2025","RESOLUCIÓN MINISTERIAL N.°  319/17","RES. CONEAU N.° 704/15","OCD N.° 1/2025 mofifica el Plan de Estudios OCD 11/10 (OCS N.° 6/2025) - OCS 8/2025 Ratifica Reg. Correlatividades y OCS N.° 7/2025 Ratifica Plan de Transición. ","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN BIOTECNOLOGÍA ","GRADO","OCD N.º 7/17","OCS N .º 44/17","RESOLUCIÓN MINISTERIAL N.°  516/20","RES. CONEAU N.° 165/19","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN CIENCIAS BIOLÓGICAS ","GRADO"," OCD N.º 8/13","OCS N.º 40/13","RESOLUCIÓN MINISTERIAL N.°  563/16","RES. CONEAU N.° 408/14","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS","GRADO","OCD N.º 12/14","OCS N.º 25/14","RESOLUCIÓN MINISTERIAL N.°  2921/15","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN QUÍMICA ","GRADO","OCD N.º 12/21","OCS N.º 22/23","RESOLUCION MINISTERIAL N.° 1022/14","RES. CONEAU 286/23","RM MENCIONA OCS N.° 31/12 - OCD N.° 1/2023 y su ratif. OCS N.° 24/2023 (La OCD 1/23 amplia la OCD N.° 12/2021) ","","","","","","","","","","","","","","","","","","","",""
"LIC. HIGIENE Y SEG. EN EL TRABAJO","GRADO CCC","OCD N.° 6/21","OCS N.° 43/21","RESOLUCION MINISTERIAL N.° 3148/22","","LA RM MENCIONA ADEMAS OCS 20/22 Y 25/22 (ESTAN EN CARPETA) (La OCD 11/22 amplia la OCD 6/21) OCD 15/11 - Reg. correlatividades","","","","","","","","","","","","","","","","","","","",""
"PROFESORADO UNIVERSITARIO EN BIOLOGÍA","GRADO","OCD N.º 3/18","OCS N.º 57/18","RESOLUCIÓN MINISTERIAL N.°  2459/20","","","","","","","","","","","","","","","","","","","","","",""
"PROFESORADO UNIVERSITARIO EN QUÍMICA ","GRADO"," OCD N.º 14/19","OCS N.º 67/19","RESOLUCIÓN MINISTERIAL N.° 973/05","RES. SPU 366/22 ","","","","","","","","","","","","","","","","","","","","",""
"ANALISTA QUÍMICO","PREGRADO","OCD N.º 13/12 Y 13/14","OCS N.º 11/15","RESOLUCIÓN MINISTERIAL N.°  4133/17","","","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN ESTERILIZACIÓN ","PREGRADO","OCD N.º 11/18","OCS N.º 28/19","RESOLUCIÓN MINISTERIAL N.°  1630/16","","","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN HIGIENE Y SEGURIDAD EN EL TRABAJO","PREGRADO","OCD N.º 8/18","OCS N.º 56/18","RESOLUCIÓN MINISTERIAL N.°  904/10","RES. SPU 265/22","","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN LABORATORIOS BIOLÓGICOS","PREGRADO","OCD N.º 15/12 Y 17/14","OCS N.º 1/14","RESOLUCIÓN MINISTERIAL N.°  901/16","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
